ky_tu,so_anh_chua,ty_le_anh,tong_so_lan_xuat_hien,ty_le_tan_suat
安,1205,3.1447%,1270,0.2764%
五,1200,3.1317%,1259,0.2740%
士,1174,3.0638%,1258,0.2737%
中,1170,3.0534%,1242,0.2703%
元,1078,2.8133%,1222,0.2659%
四,1159,3.0247%,1219,0.2653%
命,1149,2.9986%,1186,0.2581%
下,1137,2.9673%,1181,0.2570%
自,1140,2.9751%,1175,0.2557%
民,1074,2.8029%,1135,0.2470%
所,1067,2.7846%,1127,0.2452%
宗,1018,2.6567%,1112,0.2420%
州,934,2.4375%,1060,0.2307%
書,995,2.5967%,1057,0.2300%
得,998,2.6045%,1050,0.2285%
六,994,2.5941%,1043,0.2270%
武,991,2.5863%,1027,0.2235%
道,967,2.5236%,1027,0.2235%
于,984,2.5680%,1020,0.2220%
生,943,2.4610%,999,0.2174%
都,871,2.2731%,978,0.2128%
城,887,2.3148%,960,0.2089%
吏,911,2.3775%,948,0.2063%
正,901,2.3514%,931,0.2026%
将,858,2.2392%,916,0.1993%
知,843,2.2000%,914,0.1989%
各,857,2.2365%,901,0.1961%
無,855,2.2313%,898,0.1954%
入,848,2.2131%,895,0.1948%
令,871,2.2731%,894,0.1945%
進,821,2.1426%,892,0.1941%
山,832,2.1713%,883,0.1921%
㐌,867,2.2626%,872,0.1898%
郡,712,1.8581%,865,0.1882%
史,771,2.0121%,863,0.1878%
後,843,2.2000%,859,0.1869%
諸,840,2.1922%,858,0.1867%
春,838,2.1870%,852,0.1854%
朝,822,2.1452%,847,0.1843%
名,781,2.0382%,845,0.1839%
内,806,2.1035%,843,0.1834%
部,758,1.9782%,835,0.1817%
陳,781,2.0382%,831,0.1808%
出,787,2.0539%,825,0.1795%
南,771,2.0121%,804,0.1750%
?,482,1.2579%,803,0.1747%
七,782,2.0408%,802,0.1745%
八,783,2.0434%,800,0.1741%
外,781,2.0382%,790,0.1719%
平,771,2.0121%,787,0.1713%
同,738,1.9260%,783,0.1704%
乃,762,1.9886%,776,0.1689%
府,697,1.8190%,766,0.1667%
遣,728,1.8999%,755,0.1643%
在,714,1.8634%,742,0.1615%
家,724,1.8895%,738,0.1606%
莫,672,1.7537%,733,0.1595%
師,699,1.8242%,714,0.1554%
德,684,1.7851%,706,0.1536%
定,687,1.7929%,703,0.1530%
司,660,1.7224%,701,0.1525%
鄭,624,1.6285%,693,0.1508%
本,661,1.7250%,691,0.1504%
則,615,1.6050%,689,0.1499%
故,678,1.7694%,689,0.1499%
可,649,1.6937%,688,0.1497%
朱,662,1.7276%,687,0.1495%
御,596,1.5554%,684,0.1488%
百,650,1.6963%,681,0.1482%
先,659,1.7198%,680,0.1480%
又,671,1.7511%,680,0.1480%
身,629,1.6415%,672,0.1462%
九,650,1.6963%,663,0.1443%
制,643,1.6781%,663,0.1443%
未,633,1.6520%,661,0.1438%
方,651,1.6989%,660,0.1436%
東,633,1.6520%,655,0.1425%
前,638,1.6650%,651,0.1417%
禮,617,1.6102%,644,0.1401%
賊,590,1.5397%,639,0.1390%
從,629,1.6415%,638,0.1388%
浪,631,1.6467%,638,0.1388%
分,595,1.5528%,637,0.1386%
守,603,1.5737%,637,0.1386%
立,613,1.5998%,631,0.1373%
政,605,1.5789%,630,0.1371%
長,610,1.5919%,629,0.1369%
來,612,1.5972%,627,0.1364%
娘,611,1.5946%,623,0.1356%
初,614,1.6024%,620,0.1349%
江,567,1.4797%,617,0.1343%
今,609,1.5893%,612,0.1332%
宋,573,1.4954%,609,0.1325%
世,579,1.5110%,606,0.1319%
見,580,1.5136%,598,0.1301%
門,565,1.4745%,596,0.1297%
固,568,1.4823%,595,0.1295%
此,582,1.5189%,593,0.1290%
與,573,1.4954%,591,0.1286%
縣,552,1.4406%,590,0.1284%
功,570,1.4876%,586,0.1275%
言,560,1.4615%,585,0.1273%
侯,544,1.4197%,583,0.1269%
用,550,1.4354%,583,0.1269%
皆,568,1.4823%,583,0.1269%
情,555,1.4484%,582,0.1266%
詔,567,1.4797%,579,0.1260%
相,554,1.4458%,578,0.1258%
清,551,1.4380%,575,0.1251%
興,554,1.4458%,567,0.1234%
復,547,1.4275%,562,0.1223%
賜,543,1.4171%,562,0.1223%
󰑼,506,1.3205%,562,0.1223%
奏,550,1.4354%,560,0.1219%
水,533,1.3910%,553,0.1203%
京,536,1.3988%,552,0.1201%
侍,506,1.3205%,552,0.1201%
地,541,1.4119%,552,0.1201%
秋,545,1.4223%,548,0.1192%
𢚸,489,1.2762%,548,0.1192%
仁,518,1.3518%,546,0.1188%
位,518,1.3518%,545,0.1186%
拱,527,1.3753%,542,0.1179%
心,527,1.3753%,540,0.1175%
郎,495,1.2918%,540,0.1175%
罪,513,1.3388%,539,0.1173%
左,512,1.3362%,537,0.1169%
群,509,1.3284%,534,0.1162%
死,512,1.3362%,533,0.1160%
尼,491,1.2814%,525,0.1142%
西,514,1.3414%,525,0.1142%
海,488,1.2736%,521,0.1134%
然,502,1.3101%,519,0.1129%
督,450,1.1744%,519,0.1129%
金,497,1.2970%,517,0.1125%
主,492,1.2840%,514,0.1118%
光,496,1.2944%,513,0.1116%
殿,463,1.2083%,513,0.1116%
餘,487,1.2709%,508,0.1105%
處,487,1.2709%,506,0.1101%
我,471,1.2292%,505,0.1099%
󰜋,469,1.2240%,505,0.1099%
衛,455,1.1874%,502,0.1092%
領,484,1.2631%,501,0.1090%
聖,472,1.2318%,497,0.1081%
萬,474,1.2370%,494,0.1075%
路,477,1.2448%,493,0.1073%
還,478,1.2475%,490,0.1066%
封,463,1.2083%,489,0.1064%
𦋦,485,1.2657%,489,0.1064%
多,475,1.2396%,487,0.1060%
奉,464,1.2109%,478,0.1040%
成,463,1.2083%,471,0.1025%
化,438,1.1431%,467,0.1016%
后,415,1.0830%,467,0.1016%
女,449,1.1718%,467,0.1016%
保,459,1.1979%,465,0.1012%
親,452,1.1796%,465,0.1012%
𠳒,446,1.1639%,463,0.1008%
𠬠,427,1.1144%,460,0.1001%
占,431,1.1248%,459,0.0999%
治,444,1.1587%,459,0.0999%
花,435,1.1352%,459,0.0999%
冬,457,1.1927%,458,0.0997%
作,444,1.1587%,455,0.0990%
何,443,1.1561%,452,0.0984%
即,443,1.1561%,452,0.0984%
買,444,1.1587%,452,0.0984%
北,442,1.1535%,451,0.0981%
𠊛,421,1.0987%,444,0.0966%
將,418,1.0909%,440,0.0957%
吳,428,1.1170%,439,0.0955%
節,437,1.1405%,439,0.0955%
夏,434,1.1326%,437,0.0951%
林,406,1.0596%,437,0.0951%
監,402,1.0491%,436,0.0949%
義,425,1.1091%,436,0.0949%
漢,409,1.0674%,434,0.0944%
馬,410,1.0700%,428,0.0931%
差,414,1.0804%,424,0.0923%
卒,418,1.0909%,422,0.0918%
亦,413,1.0778%,417,0.0907%
君,398,1.0387%,416,0.0905%
當,403,1.0517%,412,0.0897%
矣,402,1.0491%,412,0.0897%
夫,396,1.0335%,411,0.0894%
神,393,1.0256%,411,0.0894%
重,398,1.0387%,410,0.0892%
宫,382,0.9969%,405,0.0881%
試,370,0.9656%,405,0.0881%
仍,401,1.0465%,404,0.0879%
順,397,1.0361%,404,0.0879%
鎮,374,0.9760%,403,0.0877%
右,386,1.0074%,401,0.0873%
居,382,0.9969%,399,0.0868%
氏,381,0.9943%,399,0.0868%
營,378,0.9865%,397,0.0864%
李,374,0.9760%,396,0.0862%
丁,385,1.0047%,394,0.0857%
殺,381,0.9943%,392,0.0853%
埃,342,0.8925%,391,0.0851%
院,347,0.9056%,391,0.0851%
回,378,0.9865%,388,0.0844%
強,301,0.7855%,388,0.0844%
少,371,0.9682%,387,0.0842%
麻,375,0.9787%,387,0.0842%
會,381,0.9943%,384,0.0836%
常,366,0.9552%,383,0.0833%
法,371,0.9682%,382,0.0831%
能,370,0.9656%,381,0.0829%
畧,379,0.9891%,380,0.0827%
已,364,0.9499%,376,0.0818%
范,357,0.9317%,372,0.0809%
聞,366,0.9552%,370,0.0805%
並,361,0.9421%,364,0.0792%
廷,346,0.9030%,363,0.0790%
職,349,0.9108%,362,0.0788%
改,345,0.9004%,360,0.0783%
取,348,0.9082%,359,0.0781%
陽,355,0.9265%,358,0.0779%
廣,350,0.9134%,357,0.0777%
通,343,0.8951%,357,0.0777%
龍,339,0.8847%,357,0.0777%
刑,328,0.8560%,354,0.0770%
承,335,0.8743%,352,0.0766%
祖,331,0.8638%,351,0.0764%
非,341,0.8899%,351,0.0764%
經,338,0.8821%,349,0.0759%
芇,314,0.8195%,348,0.0757%
號,335,0.8743%,346,0.0753%
或,291,0.7594%,345,0.0751%
黄,329,0.8586%,345,0.0751%
欲,338,0.8821%,344,0.0749%
土,331,0.8638%,343,0.0746%
宜,334,0.8717%,343,0.0746%
社,304,0.7934%,341,0.0742%
稱,331,0.8638%,340,0.0740%
尚,324,0.8456%,339,0.0738%
宣,320,0.8351%,337,0.0733%
科,310,0.8090%,337,0.0733%
連,332,0.8664%,336,0.0731%
小,326,0.8508%,335,0.0729%
伯,308,0.8038%,334,0.0727%
若,331,0.8638%,333,0.0725%
永,323,0.8429%,331,0.0720%
副,319,0.8325%,329,0.0716%
忠,319,0.8325%,329,0.0716%
福,319,0.8325%,329,0.0716%
登,309,0.8064%,328,0.0714%
因,325,0.8482%,327,0.0712%
牢,310,0.8090%,327,0.0712%
杜,314,0.8195%,326,0.0709%
船,308,0.8038%,326,0.0709%
旨,315,0.8221%,324,0.0705%
欺,260,0.6785%,324,0.0705%
率,314,0.8195%,323,0.0703%
降,315,0.8221%,323,0.0703%
田,296,0.7725%,322,0.0701%
意,315,0.8221%,321,0.0699%
服,305,0.7960%,321,0.0699%
眾,314,0.8195%,321,0.0699%
頭,310,0.8090%,320,0.0696%
問,314,0.8195%,319,0.0694%
許,311,0.8116%,319,0.0694%
才,310,0.8090%,318,0.0692%
參,298,0.7777%,317,0.0690%
別,302,0.7881%,316,0.0688%
風,305,0.7960%,315,0.0685%
交,300,0.7829%,312,0.0679%
察,285,0.7438%,311,0.0677%
勑,300,0.7829%,309,0.0672%
父,296,0.7725%,309,0.0672%
學,292,0.7620%,308,0.0670%
遂,306,0.7986%,308,0.0670%
甲,290,0.7568%,307,0.0668%
嘉,298,0.7777%,306,0.0666%
威,298,0.7777%,306,0.0666%
開,300,0.7829%,306,0.0666%
攻,294,0.7673%,304,0.0662%
尉,293,0.7647%,303,0.0659%
𠓨,302,0.7881%,303,0.0659%
謂,294,0.7673%,302,0.0657%
應,296,0.7725%,301,0.0655%
和,293,0.7647%,299,0.0651%
憲,288,0.7516%,299,0.0651%
象,289,0.7542%,299,0.0651%
過,294,0.7673%,298,0.0648%
原,292,0.7620%,297,0.0646%
惟,287,0.7490%,297,0.0646%
華,293,0.7647%,297,0.0646%
除,286,0.7464%,296,0.0644%
必,282,0.7359%,295,0.0642%
信,286,0.7464%,293,0.0638%
第,241,0.6289%,293,0.0638%
𡗶,283,0.7386%,293,0.0638%
典,287,0.7490%,291,0.0633%
直,286,0.7464%,291,0.0633%
克,276,0.7203%,290,0.0631%
起,283,0.7386%,288,0.0627%
物,283,0.7386%,287,0.0625%
統,277,0.7229%,287,0.0625%
越,281,0.7333%,287,0.0625%
諭,282,0.7359%,286,0.0622%
兼,281,0.7333%,285,0.0620%
置,271,0.7072%,285,0.0620%
千,277,0.7229%,284,0.0618%
乎,271,0.7072%,283,0.0616%
數,276,0.7203%,283,0.0616%
實,277,0.7229%,282,0.0614%
户,264,0.6890%,281,0.0611%
爵,266,0.6942%,280,0.0609%
敬,255,0.6655%,279,0.0607%
特,271,0.7072%,279,0.0607%
調,269,0.7020%,278,0.0605%
寺,265,0.6916%,277,0.0603%
受,269,0.7020%,276,0.0601%
古,272,0.7098%,276,0.0601%
爫,269,0.7020%,274,0.0596%
任,268,0.6994%,273,0.0594%
終,267,0.6968%,273,0.0594%
總,256,0.6681%,273,0.0594%
茹,267,0.6968%,273,0.0594%
間,268,0.6994%,273,0.0594%
傷,266,0.6942%,272,0.0592%
擊,267,0.6968%,272,0.0592%
真,260,0.6785%,272,0.0592%
征,261,0.6811%,270,0.0588%
度,263,0.6864%,269,0.0585%
論,268,0.6994%,269,0.0585%
送,261,0.6811%,268,0.0583%
姓,250,0.6524%,266,0.0579%
力,257,0.6707%,263,0.0572%
失,254,0.6629%,263,0.0572%
禁,254,0.6629%,262,0.0570%
戰,250,0.6524%,261,0.0568%
䏻,254,0.6629%,260,0.0566%
凣,258,0.6733%,260,0.0566%
并,256,0.6681%,260,0.0566%
浽,241,0.6289%,260,0.0566%
塘,258,0.6733%,259,0.0564%
食,248,0.6472%,259,0.0564%
求,252,0.6577%,258,0.0561%
払,255,0.6655%,257,0.0559%
每,245,0.6394%,255,0.0555%
紀,247,0.6446%,255,0.0555%
云,249,0.6498%,254,0.0553%
既,249,0.6498%,254,0.0553%
玉,248,0.6472%,254,0.0553%
饒,240,0.6263%,254,0.0553%
請,251,0.6550%,253,0.0551%
𭁈,249,0.6498%,253,0.0551%
恩,244,0.6368%,252,0.0548%
議,248,0.6472%,252,0.0548%
例,243,0.6342%,251,0.0546%
字,232,0.6055%,251,0.0546%
敢,251,0.6550%,251,0.0546%
爾,220,0.5741%,251,0.0546%
討,245,0.6394%,251,0.0546%
謀,249,0.6498%,251,0.0546%
弟,244,0.6368%,250,0.0544%
渚,248,0.6472%,250,0.0544%
𣈜,232,0.6055%,250,0.0544%
流,245,0.6394%,249,0.0542%
理,238,0.6211%,249,0.0542%
破,249,0.6498%,249,0.0542%
首,244,0.6368%,249,0.0542%
𠄩,231,0.6028%,249,0.0542%
壽,242,0.6316%,248,0.0540%
業,247,0.6446%,248,0.0540%
髙,239,0.6237%,248,0.0540%
圖,244,0.6368%,247,0.0537%
歲,239,0.6237%,247,0.0537%
加,241,0.6289%,246,0.0535%
徒,243,0.6342%,246,0.0535%
𧗱,246,0.6420%,246,0.0535%
斬,241,0.6289%,245,0.0533%
權,238,0.6211%,244,0.0531%
𦖑,244,0.6368%,244,0.0531%
始,242,0.6316%,243,0.0529%
錢,233,0.6081%,243,0.0529%
共,234,0.6107%,242,0.0527%
尊,238,0.6211%,242,0.0527%
輔,225,0.5872%,242,0.0527%
𢬣,236,0.6159%,242,0.0527%
属,235,0.6133%,241,0.0524%
㝵,229,0.5976%,240,0.0522%
傳,234,0.6107%,240,0.0522%
卿,227,0.5924%,239,0.0520%
觀,233,0.6081%,239,0.0520%
母,226,0.5898%,238,0.0518%
雲,232,0.6055%,238,0.0518%
夜,236,0.6159%,237,0.0516%
撫,228,0.5950%,237,0.0516%
昭,224,0.5846%,237,0.0516%
衣,221,0.5768%,237,0.0516%
遠,234,0.6107%,237,0.0516%
勝,229,0.5976%,235,0.0511%
皮,225,0.5872%,235,0.0511%
給,222,0.5794%,235,0.0511%
品,169,0.4410%,234,0.0509%
考,210,0.5480%,234,0.0509%
計,230,0.6002%,234,0.0509%
渃,232,0.6055%,233,0.0507%
建,224,0.5846%,232,0.0505%
旦,228,0.5950%,232,0.0505%
白,225,0.5872%,232,0.0505%
英,223,0.5820%,232,0.0505%
朕,221,0.5768%,231,0.0503%
香,226,0.5898%,231,0.0503%
㱕,224,0.5846%,230,0.0500%
揮,217,0.5663%,230,0.0500%
貢,225,0.5872%,230,0.0500%
雨,207,0.5402%,230,0.0500%
亡,228,0.5950%,229,0.0498%
致,226,0.5898%,229,0.0498%
幸,220,0.5741%,228,0.0496%
胡,213,0.5559%,228,0.0496%
鐄,226,0.5898%,227,0.0494%
老,220,0.5741%,225,0.0490%
󰘚,217,0.5663%,224,0.0487%
冲,222,0.5794%,223,0.0485%
員,214,0.5585%,223,0.0485%
次,214,0.5585%,223,0.0485%
催,195,0.5089%,221,0.0481%
呐,215,0.5611%,221,0.0481%
孫,214,0.5585%,221,0.0481%
慶,213,0.5559%,221,0.0481%
景,213,0.5559%,221,0.0481%
唐,215,0.5611%,220,0.0479%
汝,202,0.5272%,220,0.0479%
納,212,0.5533%,220,0.0479%
陵,206,0.5376%,220,0.0479%
全,214,0.5585%,217,0.0472%
異,211,0.5507%,217,0.0472%
翰,199,0.5193%,217,0.0472%
詩,212,0.5533%,217,0.0472%
賢,206,0.5376%,217,0.0472%
追,216,0.5637%,217,0.0472%
銀,207,0.5402%,217,0.0472%
些,204,0.5324%,216,0.0470%
塲,190,0.4959%,216,0.0470%
献,209,0.5454%,216,0.0470%
章,209,0.5454%,215,0.0468%
色,211,0.5507%,215,0.0468%
賞,206,0.5376%,214,0.0466%
乂,209,0.5454%,213,0.0463%
季,199,0.5193%,213,0.0463%
敗,206,0.5376%,211,0.0459%
甚,209,0.5454%,211,0.0459%
哉,208,0.5428%,210,0.0457%
由,202,0.5272%,210,0.0457%
合,207,0.5402%,209,0.0455%
造,206,0.5376%,209,0.0455%
高,205,0.5350%,209,0.0455%
廟,204,0.5324%,208,0.0453%
徃,199,0.5193%,208,0.0453%
𠫾,203,0.5298%,207,0.0450%
車,199,0.5193%,206,0.0448%
噐,203,0.5298%,205,0.0446%
排,186,0.4854%,205,0.0446%
楊,203,0.5298%,205,0.0446%
代,198,0.5167%,204,0.0444%
低,202,0.5272%,204,0.0444%
易,203,0.5298%,204,0.0444%
鄕,199,0.5193%,204,0.0444%
寶,190,0.4959%,203,0.0442%
𭛁,200,0.5219%,203,0.0442%
緣,193,0.5037%,202,0.0440%
隊,179,0.4671%,201,0.0437%
孝,194,0.5063%,200,0.0435%
慈,186,0.4854%,200,0.0435%
樂,187,0.4880%,200,0.0435%
管,182,0.4750%,199,0.0433%
紅,196,0.5115%,198,0.0431%
務,195,0.5089%,197,0.0429%
散,194,0.5063%,197,0.0429%
油,177,0.4619%,197,0.0429%
洪,196,0.5115%,197,0.0429%
申,195,0.5089%,197,0.0429%
充,181,0.4724%,196,0.0427%
容,192,0.5011%,196,0.0427%
崩,194,0.5063%,196,0.0427%
校,192,0.5011%,196,0.0427%
沛,196,0.5115%,196,0.0427%
犯,190,0.4959%,196,0.0427%
私,187,0.4880%,196,0.0427%
臨,190,0.4959%,196,0.0427%
拜,187,0.4880%,195,0.0424%
新,193,0.5037%,195,0.0424%
堂,182,0.4750%,194,0.0422%
空,186,0.4854%,194,0.0422%
免,185,0.4828%,193,0.0420%
告,192,0.5011%,192,0.0418%
止,184,0.4802%,192,0.0418%
張,188,0.4906%,191,0.0416%
留,187,0.4880%,191,0.0416%
舊,189,0.4932%,191,0.0416%
尋,190,0.4959%,190,0.0413%
提,182,0.4750%,190,0.0413%
盖,188,0.4906%,190,0.0413%
乘,186,0.4854%,189,0.0411%
善,175,0.4567%,187,0.0407%
猶,181,0.4724%,187,0.0407%
赦,178,0.4645%,186,0.0405%
役,176,0.4593%,185,0.0403%
焉,183,0.4776%,184,0.0400%
教,175,0.4567%,183,0.0398%
河,179,0.4671%,183,0.0398%
運,176,0.4593%,183,0.0398%
收,180,0.4698%,182,0.0396%
賒,169,0.4410%,182,0.0396%
歸,180,0.4698%,181,0.0394%
設,180,0.4698%,181,0.0394%
迎,176,0.4593%,181,0.0394%
絲,175,0.4567%,180,0.0392%
良,179,0.4671%,180,0.0392%
且,177,0.4619%,179,0.0390%
授,177,0.4619%,179,0.0390%
紹,174,0.4541%,178,0.0387%
包,176,0.4593%,177,0.0385%
害,173,0.4515%,177,0.0385%
掌,171,0.4463%,177,0.0385%
梁,173,0.4515%,177,0.0385%
雖,177,0.4619%,177,0.0385%
引,175,0.4567%,176,0.0383%
昆,171,0.4463%,176,0.0383%
舟,167,0.4358%,176,0.0383%
𠇮,160,0.4176%,176,0.0383%
仕,174,0.4541%,175,0.0381%
㗂,169,0.4410%,174,0.0379%
仙,174,0.4541%,174,0.0379%
再,173,0.4515%,174,0.0379%
籍,164,0.4280%,174,0.0379%
足,168,0.4384%,174,0.0379%
退,165,0.4306%,174,0.0379%
黨,171,0.4463%,174,0.0379%
嗣,170,0.4437%,173,0.0376%
盡,171,0.4463%,173,0.0376%
伏,167,0.4358%,172,0.0374%
更,165,0.4306%,172,0.0374%
望,171,0.4463%,172,0.0374%
表,167,0.4358%,172,0.0374%
閣,167,0.4358%,172,0.0374%
陣,168,0.4384%,172,0.0374%
待,170,0.4437%,171,0.0372%
松,170,0.4437%,171,0.0372%
󰋇,161,0.4202%,171,0.0372%
惠,164,0.4280%,170,0.0370%
戈,166,0.4332%,170,0.0370%
指,159,0.4149%,169,0.0368%
咍,165,0.4306%,168,0.0366%
誅,166,0.4332%,168,0.0366%
傅,163,0.4254%,167,0.0363%
己,166,0.4332%,167,0.0363%
期,163,0.4254%,167,0.0363%
火,155,0.4045%,166,0.0361%
貝,166,0.4332%,166,0.0361%
檢,162,0.4228%,165,0.0359%
諒,153,0.3993%,165,0.0359%
辰,164,0.4280%,165,0.0359%
𡢐,163,0.4254%,165,0.0359%
徐,162,0.4228%,164,0.0357%
恭,154,0.4019%,164,0.0357%
石,155,0.4045%,164,0.0357%
舍,155,0.4045%,164,0.0357%
崇,162,0.4228%,163,0.0355%
謝,160,0.4176%,163,0.0355%
逆,161,0.4202%,163,0.0355%
妻,157,0.4097%,162,0.0353%
獲,160,0.4176%,162,0.0353%
口,158,0.4123%,161,0.0350%
台,161,0.4202%,161,0.0350%
木,156,0.4071%,161,0.0350%
深,158,0.4123%,161,0.0350%
亂,157,0.4097%,160,0.0348%
布,151,0.3941%,160,0.0348%
貴,152,0.3967%,160,0.0348%
衙,155,0.4045%,159,0.0346%
視,152,0.3967%,159,0.0346%
㨿,135,0.3523%,158,0.0344%
奇,153,0.3993%,158,0.0344%
彼,153,0.3993%,158,0.0344%
愛,149,0.3889%,158,0.0344%
酉,154,0.4019%,158,0.0344%
難,158,0.4123%,158,0.0344%
𫽄,153,0.3993%,158,0.0344%
倍,157,0.4097%,157,0.0342%
僃,154,0.4019%,157,0.0342%
去,152,0.3967%,157,0.0342%
周,150,0.3915%,157,0.0342%
寅,152,0.3967%,157,0.0342%
補,155,0.4045%,157,0.0342%
資,152,0.3967%,157,0.0342%
志,153,0.3993%,156,0.0339%
犛,143,0.3732%,156,0.0339%
舉,150,0.3915%,156,0.0339%
尙,151,0.3941%,155,0.0337%
男,148,0.3862%,155,0.0337%
庄,146,0.3810%,154,0.0335%
謹,151,0.3941%,154,0.0335%
走,151,0.3941%,154,0.0335%
靈,153,0.3993%,154,0.0335%
思,152,0.3967%,153,0.0333%
𡸈,153,0.3993%,153,0.0333%
𦝄,150,0.3915%,153,0.0333%
𭓇,147,0.3836%,153,0.0333%
勢,152,0.3967%,152,0.0331%
哀,146,0.3810%,152,0.0331%
奔,151,0.3941%,152,0.0331%
星,145,0.3784%,152,0.0331%
脩,150,0.3915%,152,0.0331%
久,148,0.3862%,151,0.0329%
别,146,0.3810%,151,0.0329%
嚴,151,0.3941%,151,0.0329%
擒,151,0.3941%,151,0.0329%
遇,149,0.3889%,150,0.0326%
陶,146,0.3810%,150,0.0326%
願,149,0.3889%,150,0.0326%
乙,149,0.3889%,149,0.0324%
就,148,0.3862%,149,0.0324%
料,143,0.3732%,149,0.0324%
裴,149,0.3889%,149,0.0324%
两,145,0.3784%,148,0.0322%
停,137,0.3575%,148,0.0322%
吾,130,0.3393%,148,0.0322%
富,146,0.3810%,148,0.0322%
侵,137,0.3575%,147,0.0320%
捕,144,0.3758%,147,0.0320%
諱,118,0.3079%,147,0.0320%
修,143,0.3732%,146,0.0318%
底,145,0.3784%,146,0.0318%
疾,143,0.3732%,146,0.0318%
該,134,0.3497%,146,0.0318%
体,142,0.3706%,145,0.0316%
具,145,0.3784%,145,0.0316%
反,142,0.3706%,145,0.0316%
報,144,0.3758%,145,0.0316%
庚,143,0.3732%,145,0.0316%
欽,145,0.3784%,145,0.0316%
端,145,0.3784%,145,0.0316%
貞,141,0.3680%,145,0.0316%
󰱑,140,0.3654%,145,0.0316%
决,144,0.3758%,144,0.0313%
益,137,0.3575%,144,0.0313%
記,143,0.3732%,144,0.0313%
󰠲,138,0.3601%,144,0.0313%
步,139,0.3628%,143,0.0311%
珠,141,0.3680%,143,0.0311%
耒,140,0.3654%,143,0.0311%
吝,131,0.3419%,142,0.0309%
昌,136,0.3549%,142,0.0309%
碎,130,0.3393%,142,0.0309%
被,141,0.3680%,142,0.0309%
󰁮,137,0.3575%,142,0.0309%
列,138,0.3601%,141,0.0307%
厚,141,0.3680%,141,0.0307%
屯,139,0.3628%,141,0.0307%
誠,139,0.3628%,141,0.0307%
𠳨,140,0.3654%,141,0.0307%
室,137,0.3575%,140,0.0305%
戌,139,0.3628%,140,0.0305%
招,139,0.3628%,140,0.0305%
鄧,139,0.3628%,140,0.0305%
旗,132,0.3445%,139,0.0302%
獄,131,0.3419%,139,0.0302%
聲,136,0.3549%,139,0.0302%
集,138,0.3601%,139,0.0302%
弘,130,0.3393%,138,0.0300%
祐,135,0.3523%,138,0.0300%
精,134,0.3497%,138,0.0300%
隨,136,0.3549%,138,0.0300%
嘗,137,0.3575%,137,0.0298%
智,133,0.3471%,137,0.0298%
聽,136,0.3549%,137,0.0298%
錦,134,0.3497%,137,0.0298%
󰱇,135,0.3523%,137,0.0298%
壬,136,0.3549%,136,0.0296%
悉,131,0.3419%,136,0.0296%
移,135,0.3523%,135,0.0294%
青,114,0.2975%,135,0.0294%
𢪀,126,0.3288%,135,0.0294%
刺,131,0.3419%,134,0.0292%
好,131,0.3419%,134,0.0292%
戊,134,0.3497%,134,0.0292%
戦,130,0.3393%,134,0.0292%
枚,130,0.3393%,134,0.0292%
僚,132,0.3445%,133,0.0289%
半,131,0.3419%,133,0.0289%
訟,127,0.3314%,133,0.0289%
䧺,130,0.3393%,132,0.0287%
乞,131,0.3419%,132,0.0287%
寧,129,0.3367%,132,0.0287%
洞,125,0.3262%,132,0.0287%
𥙩,131,0.3419%,132,0.0287%
𧡊,132,0.3445%,132,0.0287%
